date,iteration,score,sys_len,ref_len,precisions,bp,counts,totals
2024-02-18,1,49.435567765322237,48,48,"[81.25123338499522, 69.23076923076923, 63.333333333333336, 57.142857142857146]",1.0,"[39, 27, 19, 12]","[48, 39, 30, 21]"
2024-02-21,2,50.185564765421230,48,48,"[81.55123349900238, 69.43076923076923, 63.43333333333334, 57.342857142857146]",1.0,"[40, 28, 20, 13]","[49, 40, 31, 22]"
2024-02-24,3,50.975564768423220,48,48,"[81.75564728839405, 69.63076923076923, 63.53333333333334, 57.442857142857146]",1.0,"[40, 28, 20, 13]","[49, 40, 31, 22]"
2024-02-27,4,51.000564768424277,48,48,"[82.05348834817727, 69.83076923076923, 63.633333333333336, 57.542857142857146]",1.0,"[41, 29, 21, 14]","[50, 41, 32, 23]"
2024-03-02,5,51.800564768623226,48,48,"[82.15345367889003, 70.03076923076923, 63.73333333333334, 57.642857142857146]",1.0,"[41, 29, 21, 14]","[50, 41, 32, 23]"
2024-03-05,6,52.500564768822292,48,48,"[82.35123333567788, 70.23076923076923, 63.833333333333336, 57.74285714285714]",1.0,"[42, 30, 22, 15]","[51, 42, 33, 24]"
2024-03-08,7,52.700564769021202,48,48,"[82.75007482002838, 70.43076923076923, 64.03333333333333, 57.84285714285714]",1.0,"[42, 30, 22, 15]","[51, 42, 33, 24]"
2024-03-11,8,52.300564769224292,48,48,"[82.95577382994899, 70.73076923076923, 64.03333333333333, 57.74285714285714]",1.0,"[43, 31, 23, 16]","[52, 43, 34, 25]"
2024-03-11,9,53.500564769220293,48,48,"[83.15322122344555, 70.63076923076923, 64.23333333333333, 58.042857142857146]",1.0,"[43, 31, 23, 16]","[52, 43, 34, 25]"
2024-03-14,10,54.000564769419207,48,48,"[83.55112552344322, 70.83076923076923, 64.43333333333334, 58.24285714285714]",1.0,"[43, 31, 23, 16]","[52, 43, 34, 25]"
2024-03-17,11,54.500564769618297,104,99,"[83.95121334999389, 71.03076923076923, 64.63333333333334, 58.44285714285714]",1.0,"[44, 32, 24, 17]","[53, 44, 35, 26]"
2024-03-20,12,55.000564769817208,104,99,"[84.35877782778799, 71.23076923076923, 64.83333333333333, 58.642857142857146]",1.0,"[44, 32, 24, 17]","[53, 44, 35, 26]"
2024-03-23,13,55.500564770016295,104,99,"[84.75233415552344, 71.43076923076923, 65.03333333333333, 58.84285714285714]",1.0,"[45, 33, 25, 18]","[54, 45, 36, 27]"
2024-03-26,14,56.000564770215206,104,99,"[85.15344446778821, 71.63076923076923, 65.23333333333334, 59.042857142857146]",1.0,"[45, 33, 25, 18]","[54, 45, 36, 27]"
2024-03-29,15,56.500564770414296,104,99,"[85.55233332245688, 71.83076923076923, 65.43333333333334, 59.24285714285714]",1.0,"[46, 34, 26, 19]","[55, 46, 37, 28]"
2024-04-01,16,57.000564770613208,104,99,"[85.95466678778889, 72.03076923076923, 65.63333333333334, 59.442857142857146]",1.0,"[46, 34, 26, 19]","[55, 46, 37, 28]"
2024-04-04,17,57.500564770812292,104,99,"[86.35323333288828, 72.23076923076923, 65.83333333333333, 59.642857142857146]",1.0,"[47, 35, 27, 20]","[56, 47, 38, 29]"
2024-04-07,18,58.000564771011205,104,99,"[86.75328888378929, 72.43076923076923, 66.03333333333333, 59.84285714285714]",1.0,"[47, 35, 27, 20]","[56, 47, 38, 29]"
2024-04-10,19,58.500564771210299,104,99,"[87.15232223499928, 72.63076923076923, 66.23333333333334, 60.04285714285714]",1.0,"[48, 36, 28, 21]","[57, 48, 39, 30]"
2024-04-10,20,58.500564769424203,206,201,"[86.15938827728182, 73.83076923076923, 65.63333333333334, 59.34285714285714]",1.0,"[49, 37, 29, 22]","[58, 49, 40, 31]"
2024-04-12,21,59.000564771409202,206,201,"[87.55236782726662, 72.83076923076923, 66.43333333333334, 60.24285714285714]",1.0,"[48, 36, 28, 21]","[57, 48, 39, 30]"
2024-04-12,22,59.700564769624222,206,201,"[86.45293992919392, 74.13076923076923, 65.83333333333333, 59.542857142857144]",1.0,"[49, 37, 29, 22]","[58, 49, 40, 31]"
2024-04-14,23,59.500564771608294,206,201,"[87.95123993829192, 73.03076923076923, 66.63333333333334, 60.44285714285714]",1.0,"[49, 37, 29, 22]","[58, 49, 40, 31]"
2024-04-14,24,60.000564771807204,206,201,"[88.35019283882839, 73.23076923076923, 66.83333333333333, 60.642857142857146]",1.0,"[49, 37, 29, 22]","[58, 49, 40, 31]"
2024-04-14,25,62.345446654069802,206,201,"[81.25367772882829, 69.14076923345644, 63.333333333333336, 57.142857142857146]",1.0,"[39, 27, 19, 12]","[48, 39, 30, 21]"
2024-04-18,26,62.870596665406985,206,201,"[81.25467382736622, 69.23076923076923, 63.333333333333336, 57.142857142857146]",1.0,"[39, 27, 19, 12]","[48, 39, 30, 21]"
2024-04-18,27,63.473019163687906,206,201,"[81.55339805825243, 67.6470588235294, 57.46268656716418, 48.97959183673469]",1.0,"[168, 115, 77, 48]","[206, 170, 134, 98]"
2024-04-18,28,63.855429384449238,206,201,"[81.55339805825243, 67.6470588235294, 57.46268656716418, 48.97959183673469]",1.0,"[168, 115, 77, 48]","[206, 170, 134, 98]"
